Make,Model,Body Type,Engine Type,Tyres,Headlights,Colours Available,Year Introduced,Notes,Image Path
Abarth,Abarth Model 1,SUV,Petrol,215/55 R17,Halogen,Metallic Blue; Green; Orange,2019,Standard trim,
Abarth,Abarth Model 2,Sedan,V8,235/35 R19,Halogen,Gold; Brown; Black,2015,Standard trim,
Abarth,Abarth Model 3,SUV,Diesel,205/55 R16,LED,Orange; Gold; Metallic Blue,2004,Standard trim,
Abarth,Abarth Model 4,Pick-up,Diesel,245/40 R20,LED,Gold; White; Grey,2007,Standard trim,
Abarth,Abarth Model 5,Sedan,Petrol,215/55 R17,Halogen,Metallic Blue; White; Red,2010,Standard trim,
Abarth,Abarth Model 6,Sedan,Diesel,225/45 R18,LED,Blue; White; Grey,2023,Standard trim,
Abarth,Abarth Model 7,Pick-up,Diesel,245/40 R20,Matrix LED,White; Metallic Blue; Black,2003,Standard trim,
Abarth,Abarth Model 8,Convertible,Petrol,215/55 R17,Laser,Silver; Beige; Green,2013,Standard trim,
Abarth,Abarth Model 9,MPV,V8,265/65 R17,Adaptive LED,Yellow; Green; Beige,2018,Standard trim,
Abarth,Abarth Model 10,Convertible,Diesel,235/35 R19,LED,Brown; Beige; White,2024,Standard trim,
Abarth,Abarth Model 11,Sedan,V6,245/40 R20,LED,Silver; White; Metallic Blue,2007,Standard trim,
Abarth,Abarth Model 12,Sedan,V8,275/40 R21,Matrix LED,Metallic Blue; Grey; Orange,2011,Standard trim,
Abarth,Abarth Model 13,SUV,Petrol,235/35 R19,Adaptive LED,Blue; Orange; Metallic Silver,2003,Standard trim,
Abarth,Abarth Model 14,Sedan,V6,245/40 R20,Adaptive LED,Black; Blue; Metallic Grey,2020,Standard trim,
Alfa Romeo,Alfa Romeo Model 1,Pick-up,V6,265/65 R17,Halogen,Grey; Metallic Blue; Orange,2008,Standard trim,
Alfa Romeo,Alfa Romeo Model 2,SUV,Electric,245/40 R20,Matrix LED,Grey; Yellow; Beige,2005,Standard trim,
Alfa Romeo,Alfa Romeo Model 3,Pick-up,Electric,205/55 R16,LED,Metallic Blue; Beige; Blue,2014,Standard trim,
Alfa Romeo,Alfa Romeo Model 4,Sedan,V8,235/35 R19,LED,Silver; Gold; Metallic Blue,2012,Standard trim,
Alfa Romeo,Alfa Romeo Model 5,Roadster,Turbo Petrol,205/55 R16,Adaptive LED,Metallic Blue; Gold; Grey,2014,Standard trim,
Alfa Romeo,Alfa Romeo Model 6,Convertible,V6,215/55 R17,Laser,Metallic Blue; Orange; Beige,2016,Standard trim,
Alfa Romeo,Alfa Romeo Model 7,Sedan,Diesel,265/65 R17,Laser,Yellow; White; Orange,2013,Standard trim,
Alfa Romeo,Alfa Romeo Model 8,MPV,Diesel,265/65 R17,Halogen,White; Blue; Gold,2011,Standard trim,
Alfa Romeo,Alfa Romeo Model 9,Convertible,Electric,275/40 R21,LED,Green; Grey; Gold,2010,Standard trim,
Alfa Romeo,Alfa Romeo Model 10,SUV,V8,275/40 R21,Adaptive LED,Silver; Orange; Metallic Grey,2024,Standard trim,
Alfa Romeo,Alfa Romeo Model 11,Convertible,Diesel,275/40 R21,Laser,Metallic Grey; Blue; Black,2009,Standard trim,
Alfa Romeo,Alfa Romeo Model 12,MPV,Diesel,225/45 R18,Adaptive LED,Metallic Silver; White; Orange,2015,Standard trim,
Aston Martin,Aston Martin Model 1,SUV,Diesel,245/40 R20,Halogen,Green; Beige; Metallic Blue,2000,Standard trim,
Aston Martin,Aston Martin Model 2,Roadster,Diesel,205/55 R16,Matrix LED,Metallic Blue; Grey; Metallic Grey,2008,Standard trim,
Audi,Audi Model 1,Sedan,Turbo Petrol,235/35 R19,Laser,Green; Black; Grey,2013,Standard trim,
Audi,Audi Model 2,Sedan,V8,265/65 R17,Halogen,Black; Grey; White,2019,Standard trim,
Audi,Audi Model 3,SUV,Turbo Petrol,265/65 R17,Matrix LED,Silver; Metallic Grey; Metallic Silver,2002,Standard trim,
Audi,Audi Model 4,Hatchback,Electric,215/55 R17,Adaptive LED,Metallic Silver; Blue; White,2023,Standard trim,
Audi,Audi Model 5,Pick-up,Petrol,245/40 R20,Halogen,Black; Yellow; Blue,2003,Standard trim,
Audi,Audi Model 6,Roadster,V6,265/65 R17,Halogen,Orange; Silver; Metallic Silver,2018,Standard trim,
Audi,Audi Model 7,Sedan,Turbo Petrol,225/45 R18,Matrix LED,Grey; Black; Metallic Silver,2014,Standard trim,
Audi,Audi Model 8,Hatchback,Hybrid,205/55 R16,Adaptive LED,White; Silver; Black,2000,Standard trim,
Audi,Audi Model 9,Roadster,Diesel,275/40 R21,Adaptive LED,Metallic Grey; Beige; Black,2023,Standard trim,
Audi,Audi Model 10,Sedan,V6,225/45 R18,LED,Yellow; Metallic Blue; Orange,2013,Standard trim,
Audi,Audi Model 11,MPV,Petrol,265/65 R17,Halogen,White; Black; Red,2023,Standard trim,
