Column1,date,client_id,province,incident_type,status
INC600000,2025/09/26,CL1098,Gauteng,Accident,escalated
INC600001,2025/06/21,CL1110,KwaZulu-Natal,VIP Threat,reported
INC600002,2025/09/29,CL1005,Gauteng,Alarm Trigger,resolved
INC600003,2025/09/16,CL1031,Gauteng,Vandalism,reported
INC600004,2025/06/02,CL1257,Free State,Assault,in_progress
INC600005,2025/08/21,CL1164,Western Cape,Alarm Trigger,escalated
INC600006,2025/08/07,CL1040,Gauteng,Trespass,resolved
INC600007,2025/09/20,CL1092,Gauteng,Suspicious Vehicle,in_progress
INC600008,2025/07/10,CL1209,Limpopo,Theft,in_progress
INC600009,2025/09/15,CL1258,Free State,Trespass,escalated
INC600010,2025/07/16,CL1140,KwaZulu-Natal,VIP Threat,resolved
INC600011,2025/04/09,CL1218,Limpopo,Suspicious Vehicle,escalated
INC600012,2025/09/28,CL1041,Gauteng,Hijacking,escalated
INC600013,2025/06/15,CL1278,Free State,Suspicious Vehicle,reported
INC600014,2025/07/11,CL1031,Gauteng,Trespass,resolved
INC600015,2025/08/23,CL1111,KwaZulu-Natal,Hijacking,escalated
INC600016,2025/05/08,CL1164,Western Cape,Vandalism,in_progress
INC600017,2025/06/24,CL1066,Gauteng,Hijacking,in_progress
INC600018,2025/07/19,CL1023,Gauteng,Assault,reported
INC600019,2025/06/16,CL1365,Mpumalanga,Accident,resolved
INC600020,2025/09/07,CL1244,Limpopo,Theft,in_progress
INC600021,2025/07/13,CL1132,KwaZulu-Natal,VIP Threat,reported
INC600022,2025/04/06,CL1378,Mpumalanga,Theft,in_progress
INC600023,2025/08/22,CL1055,Gauteng,Trespass,escalated
INC600024,2025/08/16,CL1332,North West,Protest,resolved
INC600025,2025/05/10,CL1073,Gauteng,Hijacking,escalated
INC600026,2025/08/09,CL1273,Free State,Vandalism,resolved
INC600027,2025/07/30,CL1240,Limpopo,Theft,in_progress
INC600028,2025/04/12,CL1381,Mpumalanga,Assault,in_progress
INC600029,2025/09/16,CL1296,Free State,Accident,in_progress
INC600030,2025/07/10,CL1008,Gauteng,Alarm Trigger,reported
INC600031,2025/08/24,CL1163,Western Cape,Suspicious Vehicle,escalated
INC600032,2025/08/05,CL1063,Gauteng,Protest,resolved
INC600033,2025/07/18,CL1071,Gauteng,Vandalism,reported
INC600034,2025/08/01,CL1020,Gauteng,Theft,reported
INC600035,2025/06/09,CL1087,Gauteng,Protest,in_progress
INC600036,2025/08/08,CL1358,Mpumalanga,Protest,escalated
INC600037,2025/08/04,CL1220,Limpopo,Trespass,escalated
